employer,jan,feb,mar,apr,may,total,months_active,avg_per_month,size_category
Anthony Reddy Associates Architects Limited,0,0,1,0,0,1,1,1.0,1 permit
Anthony Rogers and Mary Rogers,0,0,2,0,0,2,1,2.0,2-5 permits
Anthony Williams,0,1,0,0,0,1,1,1.0,1 permit
Anthropic Ireland Limited,0,0,1,0,0,1,1,1.0,1 permit
ANZ Restaurant Limited,1,0,0,0,0,1,1,1.0,1 permit
Aon Solutions Ireland Limited,0,0,1,1,0,2,2,1.0,2-5 permits
Aonach Nua Ltd,1,0,0,0,0,1,1,1.0,1 permit
AOSARCS Ltd,1,0,0,0,0,1,1,1.0,1 permit
Aoshima Food Limited,0,0,0,0,1,1,1,1.0,1 permit
AP Car Sales Galway Limited,0,0,0,1,0,1,1,1.0,1 permit
AP EnvEcon Limited,0,0,1,1,0,2,2,1.0,2-5 permits
Aperee Living Conna Limited,0,1,0,1,0,2,2,1.0,2-5 permits
Apex Fund Services (Ireland) Limited,0,0,0,0,1,1,1,1.0,1 permit
Apex RC Frames Ltd,0,0,0,1,0,1,1,1.0,1 permit
Apg Sales Promotion (Ireland) Limited,0,1,0,0,0,1,1,1.0,1 permit
Apleona Ireland Limited,0,0,0,0,1,1,1,1.0,1 permit
Apple Distribution International Limited,6,4,3,7,8,28,5,5.6,21-100 permits
Apple Operations International Limited,0,1,1,3,1,6,4,1.5,6-20 permits
Appleby Jewellers Ltd,1,0,0,0,0,1,1,1.0,1 permit
Applefield Limited,0,0,0,0,1,1,1,1.0,1 permit
Applewood Homecare Ltd,3,1,1,3,0,8,4,2.0,6-20 permits
Applied Materials Ireland Limited,5,3,6,15,7,36,5,7.2,21-100 permits
Applied Process Company Limited,0,0,0,1,2,3,2,1.5,2-5 permits
Applied Software Consultants Limited,0,2,4,0,0,6,2,3.0,6-20 permits
Applus Inspection Services Ireland Limited,40,37,19,6,11,113,5,22.6,100+ permits
Appnext Technologies Limited,0,0,3,2,1,6,3,2.0,6-20 permits
Aptech Business Systems Limited,0,0,1,0,0,1,1,1.0,1 permit
Aptiv Global Operations Limited,0,1,1,1,1,4,4,1.0,2-5 permits
Aqua Comms Management Limited,0,1,0,0,0,1,1,1.0,1 permit
Aquabox Pump Systems,0,0,1,0,0,1,1,1.0,1 permit
Aradhana Catering Company Limited,1,0,0,0,0,1,1,1.0,1 permit
Araglen House Nursing Home Limited,0,14,0,4,0,18,2,9.0,6-20 permits
Aragonda Trading Ltd,1,0,0,0,0,1,1,1.0,1 permit
Aramark Property Services Ltd,0,1,0,0,1,2,2,1.0,2-5 permits
Arancini Limited,1,0,0,0,0,1,1,1.0,1 permit
Aras Mhuire Nursing Home,1,1,1,0,0,3,3,1.0,2-5 permits
Arcadis Ireland Ltd,0,0,0,0,1,1,1,1.0,1 permit
Archview Lodge Nursing Home Ltd,2,1,0,2,1,6,4,1.5,6-20 permits
Arctic Wolf Networks Ireland Limited,0,0,0,0,2,2,1,2.0,2-5 permits
Ard Na Ri Nursing Home,2,0,1,1,4,8,4,2.0,6-20 permits
Ardancare Limited,8,1,1,5,0,15,4,3.8,6-20 permits
Ardcian Investment Holdings Ltd,0,0,0,0,1,1,1,1.0,1 permit
Ardilea Childcare Ltd,0,0,0,1,0,1,1,1.0,1 permit
Ardkeen Opticians Limited,0,0,0,1,0,1,1,1.0,1 permit
Ardmore Shipping Services (Ireland) Limited,0,1,0,0,0,1,1,1.0,1 permit
Ardrar Ltd. T/A Swyft Energy,0,0,0,0,1,1,1,1.0,1 permit
Ard-Ri Marble Mantlepieces Limited,0,1,0,0,1,2,2,1.0,2-5 permits
Ardun Investments Limited,0,0,1,0,0,1,1,1.0,1 permit
Argosea Services Ltd,1,0,0,0,0,1,1,1.0,1 permit
Arista Networks Limited,0,0,1,0,0,1,1,1.0,1 permit
Arista Technology Ireland Unlimited Company,0,1,0,1,2,4,3,1.3,2-5 permits
Arisu Korean Restaurant Limited,0,1,0,0,0,1,1,1.0,1 permit
